City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mgandu,TZ,0,1551838023,91,-5.96,34.11,57.25,2.84
Mahebourg,MU,40,1551834000,78,-20.41,57.7,78.8,9.78
Rikitea,PF,92,1551837794,97,-23.12,-134.97,81.01,15.14
Redmond,US,1,1551837711,41,47.67,-122.12,43.0,10.29
Torbay,CA,75,1551837927,79,47.66,-52.73,27.0,18.34
Altamont,CA,48,1551837648,78,49.4,-98.5,10.99,12.01
Xining,CN,24,1551838028,47,36.62,101.77,30.61,1.39
Maryville,US,1,1551837810,40,40.35,-94.87,17.6,6.93
Port Alfred,ZA,0,1551837928,94,-33.59,26.89,69.01,4.0
Longyearbyen,NO,20,1551833400,69,78.22,15.63,-7.61,5.82
Ushuaia,AR,40,1551834000,75,-54.81,-68.31,42.8,18.34
East London,ZA,24,1551837900,100,-33.02,27.91,75.61,26.78
Mar del Plata,AR,24,1551837750,53,-46.43,-67.52,61.57,25.55
New Norfolk,AU,75,1551837975,62,-42.78,147.06,57.99,19.46
Baruun-Urt,MN,0,1551838030,33,46.68,113.28,28.63,11.23
Flinders,AU,0,1551837922,33,-34.58,150.85,97.0,27.51
Owando,CG,92,1551838031,95,-0.49,15.91,72.19,2.39
Hobart,AU,75,1551837975,62,-42.88,147.33,57.99,19.46
Tuktoyaktuk,CA,20,1551834000,77,69.44,-133.03,6.8,8.05
Chumikan,RU,12,1551838031,58,54.72,135.31,25.71,4.85
Pisco,PE,75,1551834000,78,-13.71,-76.2,73.4,20.8
Kasongo-Lunda,CD,48,1551838031,98,-6.48,16.82,68.23,2.06
Albany,US,90,1551837848,78,42.65,-73.75,23.0,9.17
Bluff,AU,56,1551838014,71,-23.58,149.07,84.48,6.31
Saskylakh,RU,80,1551838032,69,71.97,114.09,-1.93,8.43
Grand Gaube,MU,40,1551834000,78,-20.01,57.66,78.8,12.01
Nikolskoye,RU,0,1551837934,78,59.7,30.79,12.0,15.66
Sistranda,NO,0,1551837861,72,63.73,8.83,21.0,8.05
Norman Wells,CA,5,1551834000,48,65.28,-126.83,21.2,2.24
Xalpatlahuac,MX,0,1551837929,79,17.47,-98.62,61.21,2.17
Jamestown,AU,20,1551837846,79,-33.21,138.6,62.38,13.02
Paragominas,BR,92,1551838047,98,-3.0,-47.35,72.19,3.06
Punta Arenas,CL,75,1551837789,100,-53.16,-70.91,44.6,6.93
Kapaa,US,90,1551837813,56,22.08,-159.32,75.2,19.46
Thompson,CA,90,1551834000,65,55.74,-97.86,6.8,8.05
Sao Joao da Barra,BR,76,1551837824,98,-21.64,-41.05,82.41,18.61
Mataura,NZ,0,1551838050,34,-46.19,168.86,80.92,17.05
Kostomuksha,RU,12,1551838050,76,64.59,30.6,1.81,6.64
Warrington,GB,75,1551838032,87,53.39,-2.59,50.0,16.11
Qaanaaq,GL,44,1551838051,83,77.48,-69.36,-9.76,4.63
Cingoli,IT,0,1551838026,69,43.37,13.22,53.01,5.82
Carnarvon,ZA,0,1551838052,45,-30.97,22.13,54.96,2.95
Saint-Philippe,CA,75,1551837850,78,45.36,-73.48,17.01,6.93
Natal,BR,40,1551837600,83,-5.81,-35.21,78.8,2.24
Namibe,AO,68,1551838056,100,-15.19,12.15,78.22,2.06
Avarua,CK,76,1551835800,65,-21.21,-159.78,80.6,6.93
Mount Gambier,AU,40,1551834000,47,-37.83,140.78,59.0,21.92
Narsaq,GL,64,1551833400,21,60.91,-46.05,35.6,12.75
Moose Factory,CA,90,1551836580,83,51.26,-80.61,-9.41,2.24
Petropavlovsk-Kamchatskiy,RU,76,1551835800,48,53.05,158.65,19.4,2.24
Provideniya,RU,0,1551835800,63,64.42,-173.23,30.2,13.42
Cape Town,ZA,0,1551837770,88,-33.93,18.42,66.99,4.7
Peniche,PT,40,1551838023,93,39.36,-9.38,57.99,18.34
Thinadhoo,MV,88,1551837940,100,0.53,72.93,82.41,9.22
Vaini,IN,20,1551834000,93,15.34,74.49,59.0,2.28
Hithadhoo,MV,56,1551838062,100,-0.6,73.08,80.56,7.31
Puerto Ayora,EC,0,1551838063,100,-0.74,-90.35,78.9,8.21
Busselton,AU,64,1551837681,28,-33.64,115.35,73.0,15.82
Sitka,US,0,1551837666,61,37.17,-99.65,21.99,2.84
Manaure,CO,0,1551838066,90,11.78,-72.45,77.68,21.85
Outjo,NA,56,1551838067,88,-20.11,16.16,61.57,2.95
Port Blair,IN,92,1551838067,100,11.67,92.75,80.92,4.41
Kahului,US,75,1551837979,64,20.89,-156.47,75.99,18.34
Ahipara,NZ,44,1551838068,65,-35.17,173.16,73.86,5.19
Saint George,GR,40,1551833400,86,39.45,22.34,41.0,3.62
Lensk,RU,8,1551838068,62,60.71,114.91,24.63,10.78
Maragogi,BR,76,1551838068,100,-9.01,-35.22,75.7,1.83
Bethel,US,40,1551835500,80,60.79,-161.76,35.6,9.17
Upernavik,GL,56,1551837873,100,72.79,-56.15,9.37,10.89
Bambous Virieux,MU,40,1551834000,78,-20.34,57.76,78.8,9.78
Galle,US,1,1551838068,48,29.74,-97.91,44.6,5.75
Vigrestad,NO,20,1551837978,100,58.57,5.7,39.0,11.41
Hambantota,LK,40,1551834600,100,6.12,81.12,75.2,4.7
Hermanus,ZA,0,1551837642,81,-34.42,19.24,69.01,8.01
Slave Lake,CA,90,1551834000,78,55.28,-114.77,12.2,6.93
Stokmarknes,NO,88,1551837617,95,68.56,14.91,28.0,5.99
Leningradskiy,RU,80,1551838005,98,69.38,178.42,10.81,15.48
Mackay,CA,5,1551834000,44,53.65,-115.58,21.2,8.05
Hilo,US,90,1551837840,88,19.71,-155.08,72.0,8.05
College,US,75,1551837951,49,64.86,-147.8,28.0,7.31
Masuguru,MZ,100,1551838078,95,-11.38,38.46,73.95,5.19
Bredasdorp,ZA,0,1551837642,93,-34.53,20.04,69.01,1.12
